frame_id,t_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf
0145,4838,-0.79,0.17,3.53,3.37,0.79,0.28,0.84
0146,4872,-0.80,0.17,3.53,3.37,0.80,0.28,0.85
0147,4905,-0.83,0.16,3.61,3.44,0.83,0.26,0.85
0148,4938,-0.83,0.16,3.61,3.44,0.83,0.26,0.85
0149,4972,-0.86,0.16,3.69,3.52,0.86,0.24,0.86
0150,5005,-0.88,0.15,3.74,3.57,0.88,0.23,0.85
0151,5038,-0.89,0.15,3.77,3.60,0.89,0.23,0.84
0152,5072,-0.90,0.15,3.74,3.57,0.90,0.24,0.82
0153,5105,-0.90,0.15,3.74,3.57,0.90,0.24,0.82
0154,5138,-0.92,0.14,3.78,3.61,0.92,0.23,0.83
0155,5172,-0.95,0.14,3.84,3.67,0.95,0.22,0.84
0156,5205,-0.95,0.14,3.81,3.64,0.95,0.23,0.85
0157,5239,-0.96,0.14,3.82,3.65,0.96,0.22,0.85
0158,5272,-0.96,0.14,3.82,3.65,0.96,0.22,0.85
0159,5305,-0.97,0.14,3.80,3.64,0.97,0.23,0.85
0160,5339,-0.98,0.14,3.83,3.67,0.98,0.22,0.84
0161,5372,-0.98,0.14,3.83,3.67,0.98,0.22,0.83
0162,5405,-0.99,0.14,3.86,3.69,0.99,0.21,0.82
0163,5439,-0.99,0.14,3.86,3.69,0.99,0.21,0.82
0164,5472,-1.00,0.14,3.89,3.72,1.00,0.21,0.80
0165,5506,-1.02,0.14,3.95,3.78,1.02,0.19,0.78
0166,5539,-1.05,0.13,4.03,3.86,1.05,0.18,0.77
0167,5572,-1.05,0.14,4.02,3.84,1.05,0.18,0.76
0168,5606,-1.05,0.13,4.03,3.86,1.05,0.18,0.76
0169,5639,-1.06,0.13,4.03,3.86,1.06,0.18,0.77
0170,5672,-1.06,0.14,4.02,3.84,1.06,0.18,0.78
0171,5706,-1.06,0.13,4.03,3.86,1.06,0.18,0.79
0172,5739,-1.07,0.14,4.05,3.88,1.07,0.17,0.80
0173,5772,-1.07,0.14,4.05,3.88,1.07,0.17,0.80
0175,5839,-1.06,0.14,4.03,3.86,1.06,0.17,0.76
0176,5873,-1.06,0.14,4.03,3.86,1.06,0.17,0.75
0177,5906,-1.07,0.14,4.05,3.88,1.07,0.17,0.76
0178,5939,-1.07,0.14,4.07,3.89,1.07,0.17,0.76
0179,5973,-1.08,0.13,4.08,3.91,1.08,0.16,0.77
0180,6006,-1.08,0.13,4.10,3.93,1.08,0.16,0.78
0181,6039,-1.08,0.13,4.10,3.93,1.08,0.16,0.78
0182,6073,-1.08,0.13,4.12,3.94,1.08,0.16,0.78
0183,6106,-1.08,0.13,4.12,3.94,1.08,0.16,0.78
0184,6139,-1.09,0.13,4.12,3.94,1.09,0.16,0.78
0185,6173,-1.08,0.13,4.12,3.94,1.08,0.16,0.78
0186,6206,-1.08,0.13,4.12,3.94,1.08,0.16,0.79
0187,6240,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0188,6273,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0189,6306,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0190,6340,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0191,6373,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0192,6406,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0193,6440,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0194,6473,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0195,6506,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0196,6540,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0197,6573,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0198,6607,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0199,6640,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0200,6673,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0201,6707,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0202,6740,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0203,6773,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0204,6807,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0205,6840,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
